INGR_NM,GRAMS,UNIT_EXPR
오렌지,40.0,1/5개
사과,30.0,1/5개
요거트,200.0,1컵
블루베리,30.0,2큰술
계란,20.0,0.3개
계란,75.0,1.5개
달걀,50.0,1개
포도씨유,50.0,속재료
전분물,24.0,토핑재료
우유,175.0,속재료
사과,500.0,2개
물,236.0,속재료
브로콜리,100.0,속재료
오일,12.0,속재료
달걀,50.0,1개
가루,30.0,속재료
