pair_id,group_type,small_recipe_id,large_recipe_id,composite_score,ingredient_name,base_amount_g,role,target_amount_g,target_serving_size,per_serving_grams,ratio_actual,predicted_amount_g,ratio_baseline
PAIR_0023,moist_heat,A1281,LS_A0098,0.71719,무,40.0,부재료,6700.0,120,55.833333333333336,1.3958333333333333,4800.0,1.0
PAIR_0023,moist_heat,A1281,LS_A0098,0.71719,생강,0.5,부재료,70.0,120,0.5833333333333334,1.1666666666666667,60.0,1.0
PAIR_0023,moist_heat,A1281,LS_A0098,0.71719,대파,5.0,부재료,500.0,120,4.166666666666667,0.8333333333333334,600.0,1.0
PAIR_0042,moist_heat,Y0017,LS_A0184,0.717095,감자,50.0,부재료,4000.0,100,40.0,0.8,5000.0,1.0
PAIR_0042,moist_heat,Y0017,LS_A0184,0.717095,당근,10.0,부재료,2000.0,100,20.0,2.0,1000.0,1.0
PAIR_0042,moist_heat,Y0017,LS_A0184,0.717095,식용유,5.0,조미료,1000.0,100,10.0,2.0,500.0,1.0
PAIR_0067,moist_heat,A2140,LS_A0227,0.717095,두부,35.0,부재료,5000.0,100,50.0,1.4285714285714286,3500.0,1.0
PAIR_0067,moist_heat,A2140,LS_A0227,0.717095,마늘,1.0,부재료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0067,moist_heat,A2140,LS_A0227,0.717095,유부,7.0,부재료,500.0,100,5.0,0.7142857142857143,700.0,1.0
PAIR_0067,moist_heat,A2140,LS_A0227,0.717095,다시마,1.0,부재료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0065,moist_heat,A0740,LS_A0224,0.706883,굴,20.0,주재료,3000.0,100,30.0,1.5,2000.0,1.0
PAIR_0065,moist_heat,A0740,LS_A0224,0.706883,마늘,1.0,부재료,150.0,100,1.5,1.5,100.0,1.0
PAIR_0170,moist_heat,A1650,LS_A0346,0.704256,다시마,1.0,부재료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0170,moist_heat,A1650,LS_A0346,0.704256,멸치,2.0,부재료,120.0,100,1.2,0.6,200.0,1.0
PAIR_0121,moist_heat,A2231,LS_A0278,0.701511,청국장,10.0,부재료,2000.0,100,20.0,2.0,1000.0,1.0
PAIR_0073,moist_heat,A1977,LS_A0232,0.7,아욱,40.0,부재료,7000.0,100,70.0,1.75,4000.0,1.0
PAIR_0110,moist_heat,A1931,LS_A0270,0.7,고춧가루,1.0,조미료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0188,no_heat,A1966,LS_A0385,0.853557,마늘,2.0,부재료,100.0,100,1.0,0.5,200.0,1.0
PAIR_0188,no_heat,A1966,LS_A0385,0.853557,소금,1.0,조미료,50.0,100,0.5,0.5,100.0,1.0
PAIR_0160,no_heat,A1376,LS_A0328,0.783761,마늘,1.0,부재료,80.0,100,0.8,0.8,100.0,1.0
PAIR_0160,no_heat,A1376,LS_A0328,0.783761,생강,0.5,부재료,30.0,100,0.3,0.6,50.0,1.0
PAIR_0029,no_heat,A1350,LS_A0117,0.779473,당근,3.0,부재료,200.0,100,2.0,0.6666666666666666,300.0,1.0
PAIR_0029,no_heat,A1350,LS_A0117,0.779473,고춧가루,2.0,조미료,100.0,100,1.0,0.5,200.0,1.0
PAIR_0029,no_heat,A1350,LS_A0117,0.779473,참기름,1.0,조미료,50.0,100,0.5,0.5,100.0,1.0
PAIR_0031,no_heat,A1470,LS_A0134,0.752807,사과,30.0,부재료,2000.0,120,16.666666666666668,0.5555555555555556,3600.0,1.0
PAIR_0031,no_heat,A1470,LS_A0134,0.752807,식초,1.0,부재료,100.0,120,0.8333333333333334,0.8333333333333334,120.0,1.0
PAIR_0031,no_heat,A1470,LS_A0134,0.752807,설탕,2.0,조미료,200.0,120,1.6666666666666667,0.8333333333333334,240.0,1.0
PAIR_0162,no_heat,A1432,LS_A0330,0.744264,설탕,1.0,조미료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0162,no_heat,A1432,LS_A0330,0.744264,고춧가루,1.0,조미료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0162,no_heat,A1432,LS_A0330,0.744264,고추장,2.0,양념,200.0,100,2.0,1.0,200.0,1.0
PAIR_0162,no_heat,A1432,LS_A0330,0.744264,식초,1.0,부재료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0201,no_heat,A2300,LS_A0424,0.726599,고춧가루,2.0,조미료,200.0,100,2.0,1.0,200.0,1.0
PAIR_0201,no_heat,A2300,LS_A0424,0.726599,마늘,1.0,부재료,80.0,100,0.8,0.8,100.0,1.0
PAIR_0201,no_heat,A2300,LS_A0424,0.726599,생강,0.5,부재료,40.0,100,0.4,0.8,50.0,1.0
PAIR_0184,no_heat,A1940,LS_A0383,0.718198,마늘,1.0,부재료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0166,no_heat,A1624,LS_A0344,0.709642,물엿,2.0,조미료,400.0,100,4.0,2.0,200.0,1.0
PAIR_0166,no_heat,A1624,LS_A0344,0.709642,마늘,1.0,부재료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0166,no_heat,A1624,LS_A0344,0.709642,고추장,5.0,양념,500.0,100,5.0,1.0,500.0,1.0
PAIR_0166,no_heat,A1624,LS_A0344,0.709642,참기름,1.0,조미료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0166,no_heat,A1624,LS_A0344,0.709642,설탕,1.0,조미료,150.0,100,1.5,1.5,100.0,1.0
PAIR_0165,no_heat,A1480,LS_A0337,0.702857,설탕,0.5,조미료,50.0,100,0.5,1.0,50.0,1.0
PAIR_0165,no_heat,A1480,LS_A0337,0.702857,마늘,1.0,부재료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0165,no_heat,A1480,LS_A0337,0.702857,고춧가루,1.0,조미료,50.0,100,0.5,0.5,100.0,1.0
PAIR_0165,no_heat,A1480,LS_A0337,0.702857,참기름,1.0,조미료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0222,dry_heat,A1320,LS_A0450,0.696411,달걀,10.0,부재료,1200.0,100,12.0,1.2,1000.0,1.0
PAIR_0222,dry_heat,A1320,LS_A0450,0.696411,부침가루,15.0,조미료,1000.0,100,10.0,0.6666666666666666,1500.0,1.0
PAIR_0137,dry_heat,A1377,LS_A0298,0.684605,낙지,60.0,부재료,10000.0,100,100.0,1.6666666666666667,6000.0,1.0
PAIR_0137,dry_heat,A1377,LS_A0298,0.684605,양파,10.0,부재료,2000.0,100,20.0,2.0,1000.0,1.0
PAIR_0036,dry_heat,A1502,LS_A0171,0.683333,쌀,90.0,부재료,10000.0,100,100.0,1.1111111111111112,9000.0,1.0
PAIR_0036,dry_heat,A1502,LS_A0171,0.683333,마늘,1.0,부재료,150.0,100,1.5,1.5,100.0,1.0
PAIR_0036,dry_heat,A1502,LS_A0171,0.683333,참깨,0.5,부재료,100.0,100,1.0,2.0,50.0,1.0
PAIR_0036,dry_heat,A1502,LS_A0171,0.683333,양파,20.0,부재료,2000.0,100,20.0,1.0,2000.0,1.0
PAIR_0036,dry_heat,A1502,LS_A0171,0.683333,당근,10.0,부재료,1000.0,100,10.0,1.0,1000.0,1.0
PAIR_0232,dry_heat,A1543,LS_A0460,0.682843,밀가루,5.0,조미료,500.0,100,5.0,1.0,500.0,1.0
PAIR_0038,dry_heat,A1907,LS_A0173,0.671347,마늘,1.0,부재료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0038,dry_heat,A1907,LS_A0173,0.671347,당근,5.0,부재료,1000.0,100,10.0,2.0,500.0,1.0
PAIR_0038,dry_heat,A1907,LS_A0173,0.671347,양파,10.0,부재료,2000.0,100,20.0,2.0,1000.0,1.0
PAIR_0002,dry_heat,A2166,LS_A0036,0.667261,고추장,10.0,양념,1000.0,100,10.0,1.0,1000.0,1.0
