food_cd,food_nm,reason
D105-223240000-0001,미역국_소고기,중복 FOOD_CD
D105-225240000-0001,배추국_소고기,중복 FOOD_CD
D105-226000000-0001,북어국,중복 FOOD_CD
D105-227000000-0001,사골국,중복 FOOD_CD
D105-228000000-0001,삼계탕,중복 FOOD_CD
D105-229000000-0001,새우탕,중복 FOOD_CD
D105-231000000-0001,설렁탕,중복 FOOD_CD
D105-234000000-0001,순대국,중복 FOOD_CD
D105-237000000-0001,어묵국(어묵탕),중복 FOOD_CD
D105-242000000-0001,오징어국,중복 FOOD_CD
D105-245000000-0001,육개장,중복 FOOD_CD
D105-245080000-0001,육개장_닭고기,중복 FOOD_CD
D105-247000000-0001,장어탕,중복 FOOD_CD
D105-248000000-0001,재첩국,중복 FOOD_CD
D105-250000000-0001,조개국,중복 FOOD_CD
D105-253000000-0001,콩나물국,중복 FOOD_CD
D105-255000000-0001,토란국,중복 FOOD_CD
D105-256210000-0001,해장국_뼈다귀,중복 FOOD_CD
D105-256230000-0001,해장국_선지,중복 FOOD_CD
D105-272000000-0001,동태국,중복 FOOD_CD
D106-259000000-0001,갈치찌개,중복 FOOD_CD
D106-260000000-0001,감자탕,중복 FOOD_CD
D106-265000000-0001,김치전골,중복 FOOD_CD
D106-266050000-0001,김치찌개_꽁치,중복 FOOD_CD
D106-266100000-0001,김치찌개_돼지고기,중복 FOOD_CD
D106-266200000-0001,김치찌개_어묵,중복 FOOD_CD
D106-266250000-0001,김치찌개_참치,중복 FOOD_CD
D106-266280000-0001,김치찌개_햄,중복 FOOD_CD
D106-268000000-0001,꽃게탕,중복 FOOD_CD
D106-270000000-0001,낙지전골,중복 FOOD_CD
D106-273000000-0001,동태찌개,중복 FOOD_CD
D106-274000000-0001,돼지고기찌개,중복 FOOD_CD
D106-275000000-0001,된장찌개,중복 FOOD_CD
D106-275060000-0001,된장찌개_냉이,중복 FOOD_CD
D106-275070000-0001,된장찌개_달래,중복 FOOD_CD
D106-275110000-0001,된장찌개_두부,중복 FOOD_CD
D106-275130000-0001,된장찌개_바지락,중복 FOOD_CD
D106-277010000-0001,두부찌개_고추장,중복 FOOD_CD
D106-277180500-0001,두부찌개_소고기_고추장,중복 FOOD_CD
D106-277181600-0001,두부찌개_소고기_된장,중복 FOOD_CD
D106-280080000-0001,매운탕_대구,중복 FOOD_CD
D106-280270000-0001,매운탕_해물,중복 FOOD_CD
D106-282000000-0001,버섯전골,중복 FOOD_CD
D106-284000000-0001,부대찌개,중복 FOOD_CD
D106-287150000-0001,샤브샤브_버섯,중복 FOOD_CD
D106-287180000-0001,샤브샤브_소고기,중복 FOOD_CD
D106-289000000-0001,소고기전골,중복 FOOD_CD
D106-291030000-0001,순두부찌개_김치,중복 FOOD_CD
D106-293000000-0001,알탕,중복 FOOD_CD
D106-294000000-0001,오리백숙,중복 FOOD_CD
D106-295000000-0001,오리탕,중복 FOOD_CD
D106-296000000-0001,오징어찌개,중복 FOOD_CD
D106-297000000-0001,청국장찌개,중복 FOOD_CD
D106-298000000-0001,추어탕,중복 FOOD_CD
D106-299000000-0001,콩비지찌개,중복 FOOD_CD
D106-302010000-0001,호박찌개_고추장,중복 FOOD_CD
D107-128180000-0001,고구마_찐고구마,중복 FOOD_CD
D107-304000000-0001,가오리찜,중복 FOOD_CD
D107-306130000-0001,갈비찜_소고기,중복 FOOD_CD
D107-307170000-0001,감자_찐감자,중복 FOOD_CD
D107-310000000-0001,깻잎찜,중복 FOOD_CD
D107-312000000-0001,꼬막찜,중복 FOOD_CD
D107-314000000-0001,꽈리고추찜,중복 FOOD_CD
D107-317120000-0001,달걀찜_새우젓,중복 FOOD_CD
D107-317150000-0001,달걀찜_우유,중복 FOOD_CD
D107-318000000-0001,닭찜,중복 FOOD_CD
D107-324000000-0001,돼지갈비찜,중복 FOOD_CD
D107-332130000-0001,사태찜_소고기,중복 FOOD_CD
D107-335130000-0001,수육_소고기,중복 FOOD_CD
D107-337000000-0001,순대,중복 FOOD_CD
D107-338000000-0001,아귀찜,중복 FOOD_CD
D107-339000000-0001,애호박찜,중복 FOOD_CD
D107-341190000-0001,옥수수_찐옥수수,중복 FOOD_CD
D107-344000000-0001,족발,중복 FOOD_CD
D107-345000000-0001,코다리찜,중복 FOOD_CD
D107-346220000-0001,콩나물찜_해물,중복 FOOD_CD
D107-347000000-0001,풋고추찜,중복 FOOD_CD
D108-352000000-0001,가자미구이,중복 FOOD_CD
D108-354120000-0001,갈비구이_소고기,중복 FOOD_CD
D108-355030000-0001,갈치구이_기름,중복 FOOD_CD
D108-357110000-0001,고등어구이_석쇠,중복 FOOD_CD
D108-359120000-0001,곱창구이_소고기,중복 FOOD_CD
D108-361180000-0001,김구이_조미김,중복 FOOD_CD
D108-362041400-0001,꼬치구이_닭고기_대파,중복 FOOD_CD
D108-365000000-0001,닭구이,중복 FOOD_CD
D108-368000000-0001,닭발구이,중복 FOOD_CD
D108-376000000-0001,떡갈비,중복 FOOD_CD
D108-377000000-0001,런천미트구이,중복 FOOD_CD
D108-379000000-0001,뱅어포구이,중복 FOOD_CD
D108-380000000-0001,버섯구이,중복 FOOD_CD
D108-380100000-0001,버섯구이_새송이버섯,중복 FOOD_CD
D108-381000000-0001,버섯구이표고버섯,중복 FOOD_CD
D108-382000000-0001,삼겹살구이,중복 FOOD_CD
D108-382020000-0001,삼겹살구이_고추장,중복 FOOD_CD
D108-383000000-0001,삼치구이,중복 FOOD_CD
D108-384000000-0001,새우구이,중복 FOOD_CD
D108-386000000-0001,소불고기,중복 FOOD_CD
D108-387140000-0001,스테이크_소등심,중복 FOOD_CD
D108-387150000-0001,스테이크_소안심,중복 FOOD_CD
D108-390000000-0001,오리고기구이,중복 FOOD_CD
D108-392000000-0001,오리불고기,중복 FOOD_CD
D108-396020000-0001,장어구이_고추장,중복 FOOD_CD
D108-398210000-0001,조개구이_키조개,중복 FOOD_CD
D108-399000000-0001,조기구이,중복 FOOD_CD
D108-401060000-0001,참치구이_머리,중복 FOOD_CD
D108-402000000-0001,치킨데리야끼,중복 FOOD_CD
D108-404000000-0001,함박스테이크,중복 FOOD_CD
D109-407000000-0001,가지전,중복 FOOD_CD
D109-408000000-0001,감자전,중복 FOOD_CD
D109-409000000-0001,고구마전,중복 FOOD_CD
D109-412000000-0001,김치전,중복 FOOD_CD
D109-416000000-0001,달걀말이,중복 FOOD_CD
